opponent,win,loss,draw,total
"Aronian,L",28,19,59,106
"Nakamura,Hi",33,22,47,102
"So,W",27,16,40,83
"Anand,V",13,11,43,67
Ding Liren,21,16,26,63
"Vachier Lagrave,M",11,15,34,60
"Firouzja,Alireza",27,14,18,59
"Caruana,F",18,13,26,57
"Tang,Andrew",30,15,10,55
"Grischuk,A",18,12,24,54
"Nepomniachtchi,I",15,5,30,50
"Giri,A",10,5,34,49
"Karjakin,Sergey",14,7,28,49
"Mamedyarov,S",14,10,16,40
"Ivanchuk,V",9,8,21,38
"Radjabov,T",7,6,25,38
"Kramnik,V",12,9,13,34
"Topalov,V",13,2,17,32
"Artemiev,V",10,4,17,31
"Svidler,P",8,4,19,31
"Leko,P",3,4,16,23
"Dubov,Daniil",7,7,8,22
"Duda,J",9,5,8,22
"Gelfand,B",9,2,8,19
"Morozevich,A",1,6,9,16
"Mamedov,Rau",7,5,3,15
"Dominguez Perez,L",3,2,9,14
"Maghsoodloo,Parham",10,2,2,14
"Naiditsch,A",5,2,7,14
"Petrosian,TL",9,2,2,13
"Van Wely,L",7,2,4,13
"Guseinov,G",6,2,4,12
"Harikrishna,P",3,2,7,12
"Bacrot,E",5,1,5,11
Wang Yue,3,2,6,11
"Shirov,A",3,2,5,10
"Andreikin,D",3,3,3,9
"Cheparinov,I",6,1,2,9
"Grandelius,N",5,0,4,9
